"Gen","Type","C1","C2","C3","T1","T2","T3"
"Gen-1","Target",25.356214860687,20.4358092264738,19.8422165219672,29.5985463338438,30.6105706340168,21.2063753802795
"Gen-2","Target",25.6438619748224,22.9529435297009,31.850470982492,33.9431940657087,33.8977151175495,30.8720253617503
"Gen-3","Target",19.023079913808,27.1156629493926,33.0359673188068,33.2487427874003,25.1395497466438,22.7574591282755
"Gen-4","Target",20.5022359755822,27.7773456212599,20.5946958204731,30.0714316002559,18.3283605955075,34.4054949684069
"Gen-5","Target",23.868156426819,25.8042844622396,21.8629505047575,27.1928171403706,23.7036458456423,28.9529678311665
"Gen-6","Target",28.2144271505531,23.0868714281823,30.0914049514104,31.9659630777314,33.9031121777371,18.5173811281566
"Gen-7","Target",22.9620316326618,23.4149467539974,32.3796655857004,18.4897540851962,33.0204141438007,34.4701427400578
"Gen-8","Target",25.3919190391898,31.874344444368,28.0252999702934,31.6651338653173,34.557714135386,20.113887052983
"Gen-9","Target",34.624605797464,27.8108730430249,24.3260559584014,20.1052205690648,25.3874875823967,20.0946575237904
"Gen-10","Target",25.1577661670744,20.8348430411424,26.4188562012278,28.6334733474068,33.8377853112761,32.7441282814834
"Gen-11","Target",28.9168947518338,28.0009369996842,28.8098790359218,25.3648117845878,34.0103469241876,27.4450648394413
"Gen-12","Target",29.277943857247,33.2418957052287,29.6598210067023,24.7657464435324,29.5317914248444,23.1883565091994
"Gen-13","Target",27.2613626122475,33.5547195717227,28.4619414357003,31.5907968906686,23.967966941651,22.2152975981589
"Gen-14","Target",19.2269520999398,31.5750463637523,20.9538331653457,32.8418273960706,31.5014926379081,21.2155106561258
"Gen-15","Target",32.5068471559789,30.1744769765064,34.3702581608668,26.6137690856121,26.2114160500932,30.1175371387508
"Gen-16","Target",27.8132858343888,28.7510474736337,18.535404447699,24.416250562761,28.8004432159942,32.1158658375498
"Gen-17","Target",24.1812662873417,33.0989667072427,32.3843769647647,27.5009174447041,24.0835601906292,32.5293205473572
"Gen-18","Target",20.7172550614923,22.7164682538714,18.413236340275,18.4150620789733,26.1182885533199,25.9106020051986
"Gen-19","Target",23.8616047867108,34.949171239743,30.1887331069447,20.6980356294662,24.2760234375019,29.5989234952722
"Gen-20","Target",23.5848311018199,31.7547798266169,18.851529691834,24.3325106601696,24.7337451940402,23.3780021122657
"Gen-21","Target",32.0619099678006,20.2278172182851,22.4451084709726,27.0419804896228,23.7987146463711,33.5558991273865
"Gen-22","Target",32.7126970726531,29.5458283585031,25.5105801960453,28.7369482391514,18.5455786352977,32.984523715917
"Gen-23","Target",24.6070059398189,32.0898511826526,21.4983697303105,33.4247567604762,23.6174825320486,34.1227039145306
"Gen-24","Target",31.7056221929379,32.0019283457659,19.4739462127909,20.2430406857748,22.4424547923263,21.6447200567927
"Gen-25","Target",29.3160596119706,18.7931158023421,24.6853016845416,26.4380060771946,30.3115454737563,26.1614763035905
"Gen-26","Target",33.5520798969083,27.0092693076003,30.5969766497146,32.0178376645781,18.6539624084253,24.8324926169589
"Gen-27","Target",24.2596569517627,24.464653275907,29.5869740825146,22.8612849113997,18.7081217018422,25.5476123003755
"Gen-28","Target",18.8477508856449,25.1394623632077,34.4232879569754,31.7946638877038,28.1687091002241,18.6113219831605
"Gen-29","Target",34.3121188858058,18.1793599231169,24.845412612427,28.8105702979956,30.9128841576166,22.6898172874935
"Gen-30","Target",20.3496189145371,19.8428683611564,30.1227971806657,32.444598631002,21.359699500259,18.5637374809012
"Gen-31","Target",32.2171292162966,24.4958086234983,26.1676740520634,30.6544006369077,20.040548221441,30.8764439546503
"Gen-32","Target",22.9031914852094,19.1200101792347,27.7251182945911,22.4546816297807,27.4167127439287,26.4898238175083
"Gen-33","Target",31.223739187466,28.5348028149456,19.2149184544105,28.6389407631941,18.1049454959575,32.8227930180728
"Gen-34","Target",25.4793375323061,33.5554495758843,24.1333578762133,25.061346554663,29.0953199528158,20.9823584286496
"Gen-35","Target",28.7325199923944,20.0066840862855,34.7845915893558,20.9839052504394,26.5535488720052,31.0002328532282
"Gen-36","Target",28.1070906606037,31.7828665024135,20.2721909719985,24.40039862087,19.7760106993373,18.241769116139
"Gen-37","Target",32.1163450037129,21.9859770534094,19.4754998544231,34.0332711415831,22.4599710963666,33.4629470545333
"Gen-38","Target",33.0571314231493,18.4346910775639,24.6088957684115,25.8352632420138,27.1352128528524,26.726813708432
"Gen-39","Target",18.1739268044475,19.3432754995301,24.825506727444,24.954385393532,23.8984715603292,23.2747907997109
"Gen-40","Target",31.4265626932029,34.6639138767496,32.1057722254191,20.102641132893,23.2970559543464,34.8234483518172
"Gen-41","Target",20.9697820574511,29.3834068893921,21.0691793325823,22.6349264977034,28.0590396027546,31.4761594526935
