"Gen","Type","C1","C2","C3","T1","T2","T3"
"Gen-1","Target",29.4142096119467,28.8021951792762,22.5403591988143,22.5065045433585,21.5103524862789,18.7473719965201
"Gen-2","Target",20.560169915203,20.0988524947315,21.5663457275368,21.4744126452133,22.1425166835543,22.8622774498072
"Gen-3","Target",20.4643908296712,28.633758506272,31.4536132081412,32.4181265083607,20.207564257551,30.4251881963573
"Gen-4","Target",20.0968531805556,25.4067131495103,25.5634263907559,18.4854981789831,23.1690039497335,18.1813475806266
"Gen-5","Target",28.7143776877783,19.1296216645278,24.4036288433708,22.2930128884036,27.590507746907,26.2135282142553
"Gen-6","Target",29.2372374015395,18.3326063530985,29.3242654576898,18.3472257994581,20.980086997617,25.4840691413265
"Gen-7","Target",25.6105720323976,27.6159097717609,19.1495418343693,31.4836144032888,27.5039305444807,32.7606762629002
"Gen-8","Target",23.1436431249604,26.7683579637669,21.1716330528725,32.1783659604844,28.1848596150521,19.8963021587115
"Gen-9","Target",20.2815026494209,25.3048030810896,32.3236419698223,30.5960247414187,29.6765933146235,27.1571755635086
"Gen-10","Target",27.7770117775071,25.1175353904255,26.1889482990373,26.7867987463251,22.1653149456251,23.2144422123674
"Gen-11","Target",34.8513446301222,24.5823463120032,29.2464526433032,32.6447747515049,34.3884278121404,18.2012550765648
"Gen-12","Target",27.3974392993841,34.6537545954343,32.9632156072184,26.2139386318158,32.1942187217064,24.8344286170322
"Gen-13","Target",19.9203978690784,22.3207750853617,27.1150021727663,24.1124993467238,20.6447002505884,27.6838337949011
"Gen-14","Target",23.0522639420815,21.1819706712849,24.4880293919705,28.2779320385307,24.4880888389889,25.1752716891933
"Gen-15","Target",27.3081364794634,28.8392254312057,30.5049675833434,25.4271305424627,30.1852967257146,20.0419054848608
"Gen-16","Target",21.2810543009546,21.3296296792105,30.6589165481273,34.1358947602566,33.4391843408812,19.1803662038874
"Gen-17","Target",34.7437965429854,24.66751474794,20.007734848652,32.4647448689211,20.5512217674404,31.8705880292691
"Gen-18","Target",22.5273099746555,28.1229904007632,22.7095906625036,21.2955243678298,27.2411375998054,30.9704371953849
"Gen-19","Target",21.0255549659487,32.7346483720466,23.7904493180104,19.9191241576336,19.2390384834725,32.1318044702057
"Gen-20","Target",22.0820853714831,30.6636454220861,34.4478505870793,27.5834152256139,30.1215154461097,29.8043467542157
"Gen-21","Target",22.0821828916669,22.7871586552355,20.8629556228407,30.7014699263964,28.9535757510457,23.1734731432516
"Gen-22","Target",29.6661576179322,32.2186143151484,24.6555521388073,27.8603449198417,26.00261094491,28.5333879489917
"Gen-23","Target",23.9421514633577,29.595674115466,22.5679278119933,21.0097845811397,21.6414765152149,23.6570952124894
"Gen-24","Target",21.8983840704896,33.572582492372,19.1656091613695,29.5644416874275,34.2933017532341,33.6373916643206
"Gen-25","Target",20.0842055552639,31.764624528354,19.8896245909855,29.9877825246658,32.4372297497466,19.284594876226
"Gen-26","Target",23.1295769605786,20.2173399692401,34.6638357434422,25.5568409957923,18.3128548150416,27.2183143540751
"Gen-27","Target",26.9661756260321,19.1735280591529,26.9227179358713,30.8530577770434,24.9402739878278,21.2000661077909
"Gen-28","Target",19.2680563665926,30.8649980030023,21.8677351169754,22.1155475594569,20.1551460069604,24.0322041928302
"Gen-29","Target",22.3466128834989,26.1219769758172,18.0211370110046,29.3053144258447,19.0399367790669,34.86865120125
"Gen-30","Target",25.6836743978783,28.0415992629714,27.9084113114513,22.2904815117363,32.2547186359297,29.1821379237808
"Gen-31","Target",19.7126279510558,26.0742462209892,20.3255989111494,20.5732469807845,32.898690513568,23.814357979456
"Gen-32","Target",27.3636775370687,33.2953380483668,28.5330070788041,22.0203327198979,19.4625690137036,23.5589258335531
"Gen-33","Target",20.6572436427232,28.358216287801,18.60461645131,31.1928478425834,18.2137360174675,33.8208304706495
"Gen-34","Target",23.111527814297,30.6498062401079,19.8814039656427,21.9248055014759,19.3248481864575,25.808019946795
"Gen-35","Target",27.7734156940132,31.6888106521219,20.4956766408868,23.8885556797031,21.6475609941408,19.6981267970987
"Gen-36","Target",23.1663759553339,30.6082364271861,26.9710597177036,26.7501930859871,32.1435905906837,24.652768827742
"Gen-37","Target",33.3912590721156,33.6053112880327,30.8435008029919,22.1275280355476,20.2846792868804,31.3766359610017
"Gen-38","Target",29.4343078299426,27.9112226341385,23.0499184150249,33.2671723843087,28.0444961839821,33.3020822471008
"Gen-39","Target",20.3695064852946,30.0515879211016,20.8784766776953,25.6580126886256,18.2953340699896,18.4641329981387
"Gen-40","Target",33.629537984496,25.3850485526491,29.4211688870564,27.7950005782768,31.7479658066295,24.6954699507914
